nBC,Ins,RH,s,t,avPriceFP0,avPriceFP100,avPriceFP500,avPriceCoastFront,nB,nS,nNC,nOS,nOB,nBL,nT,dBS
0.7,0,1,11,91,132595.25730659,145407.80932203,111139.46153846,276648.2826087,5190,947,267,69,4905,51,263,4243
0.7,0,1,11,92,132561.93696275,145617.83474576,110983.04326923,277036.95652174,5181,912,244,91,4898,52,292,4269
0.7,0,1,11,93,132483.31461318,145413.91525424,110472.48076923,277828.20652174,5222,928,264,88,4882,12,299,4294
0.7,0,1,11,94,132296.71518625,145214.11864407,110031.21634615,277587.94565217,5263,923,246,80,4951,14,271,4340
0.7,0,1,11,95,132153.20114613,145201.6440678,109700.27884615,278032.0326087,5276,907,216,84,4981,5,282,4369
0.7,0,1,11,96,132937.76962751,146208.88983051,110153.85576923,280385.55434783,5310,930,258,85,5015,48,261,4380
0.7,0,1,11,97,133106.16389685,146803.96610169,110420.14423077,280873.76086957,5361,935,246,84,5042,11,268,4426
0.7,0,1,11,98,132797.92320917,146663.21186441,109752.64903846,280509.98913043,5394,944,237,82,5088,13,273,4450
0.7,0,1,11,99,132539.09684814,146843.22881356,109646.26442308,280383.89130435,5444,958,253,86,5116,11,278,4486
0.7,0,1,11,100,132377.78567335,146478.20338983,109131.16826923,279841,5404,918,244,85,5162,87,282,4486
0.7,0,1,11,101,132222.29684814,146507.77966102,108849.29807692,279366.56521739,5407,895,251,66,5136,46,268,4512
0.7,0,1,11,102,131802.71174785,146106.78813559,108338.17788462,278748.52173913,5457,914,232,93,5138,6,269,4543
0.7,0,1,11,103,131285.44183381,145925.66525424,108146.49519231,278627.67391304,5519,953,255,75,5201,12,256,4566
0.7,0,1,11,104,130824.99255014,145566.77542373,107833.51442308,278431.82608696,5556,937,244,81,5242,11,277,4619
0.7,0,1,11,105,130720.9512894,145440.55932203,107483.70192308,278683.35869565,5580,921,240,85,5261,6,295,4659
0.7,0,1,11,106,130015.0487106,144915.08898305,107080.5625,277107.04347826,5630,926,249,67,5322,8,258,4704
0.7,0,1,11,107,129331.77994269,144352.55508475,106545.86538462,276320.56521739,5671,883,240,85,5353,7,277,4788
0.7,0,1,11,108,128339.3008596,143295.99152542,106053.91346154,273819.82608696,5695,875,221,77,5404,7,267,4820
0.7,0,1,11,109,128263.53925501,143327.23305085,105978.125,274565.66304348,5733,895,239,64,5436,6,259,4838
0.7,0,1,11,110,128046.15931232,143482.61864407,105880.00480769,274293.81521739,5636,908,225,89,5475,153,258,4728
0.7,0,1,11,111,128300.37593123,144173.33050847,106142.88942308,275733.47826087,5690,946,232,71,5393,6,243,4744
0.7,0,1,11,112,128652.41260745,144678.55932203,106447.05769231,277026.95652174,5412,941,254,74,5430,346,260,4471
0.7,0,1,11,113,128230.88137536,144193.88135593,106141.08173077,277136.66304348,5473,925,251,82,5150,10,262,4548
0.7,0,1,11,114,128422.75759312,144226.57627119,106311.78846154,278246.41304348,5501,910,239,92,5202,32,271,4591
0.7,0,1,11,115,128604.15358166,144593.41949153,106333.32211538,280105.91304348,5554,942,255,97,5230,28,271,4612
0.7,0,1,11,116,128684.11461318,144575.52966102,106351.54326923,280841.89130435,5606,938,245,101,5262,2,292,4668
0.7,0,1,11,117,129027.52550143,144807.29237288,106449.82211538,282260.68478261,5563,914,234,89,5307,67,299,4649
0.7,0,1,11,118,128706.1982808,144340.88135593,106011.75480769,282536.18478261,5597,926,251,89,5267,10,296,4671
0.7,0,1,11,119,128794.69570201,144431.46186441,105877.375,283621.66304348,5639,903,254,75,5321,11,276,4736
0.7,0,1,11,120,128954.08595989,144461,105747.25961538,284613.35869565,5583,841,254,91,5345,107,294,4742
0.7,0,1,11,121,129053.38911175,144538.58474576,105568.02884615,286233.93478261,5529,886,227,76,5305,79,278,4643
0.7,0,1,11,122,129495.81891117,144939.38983051,105533.99519231,287859.17391304,5592,902,261,76,5260,5,269,4690
0.7,0,1,11,123,129750.34269341,144868.73728814,105486.26923077,289445.19565217,5228,892,250,85,5322,429,270,4336
0.7,0,1,11,124,130049.01776504,145211.84322034,105503.75961538,291227.35869565,5275,919,260,82,4950,17,278,4356
0.7,0,1,11,125,130729.64355301,145535.53389831,105731.19230769,293249.80434783,5171,919,241,80,5002,152,273,4252
0.7,0,1,11,126,130854.3747851,145195.44915254,105424.27884615,293659.57608696,5190,868,232,87,4893,22,278,4322
0.7,0,1,11,127,130518.39083095,144832.17372881,105130.71153846,292913.56521739,5232,860,232,95,4915,10,275,4372
0.7,0,1,11,128,130868.21088825,145319.97033898,105530.36057692,293617.36956522,4454,879,271,82,4964,863,268,3575
0.7,0,1,11,129,130790.16848138,145400.33050847,105806.76923077,293719.47826087,4378,876,263,76,4173,134,281,3502
